,75,45,62,55,16,35,60,70,65,30,22,25,20
23878,,54.0,,,,,,,,,,,
23947,,135.0,,,,,,,,,,,
23955,,5431.0,,,,,,,,,,,
24102,,54.0,,,,,,,,,,,
24131,,135.0,,,,,,,,,,,
24252,,54.0,,,,,,,,,,,
24266,,54.0,,,,,,,,,,,
24389,,54.0,,,,,,,,,,,
24766,,1403.0,,,,,,,,,,,
24873,,135.0,,,,,,,,,,,
24945,,103.0,,,,,,,,,,,
25151,,2914.0,,,,,,,,,,,
25325,,103.0,,,,,,,,,,,
25336,,54.0,,,,,,,,,,,
25538,,30845.0,,,,,,,,,,,
25548,,54.0,,,,,,,,,,,
25552,,54.0,,,,,,,,,,,
25647,,54.0,,,,,,,,,,,
25853,,15425.0,,,,,,,,,,,
25865,,103.0,,,,,,,,,,,
25895,,54.0,,,,,,,,,,,
26090,,20034.0,,,,,,,,,,,
26195,,135.0,,,,,,,,,,,
26333,,1403.0,,,,,,,,,,,
26534,,135.0,,,,,,,,,,,
26662,,1.0,,,,,,,,,,,
26717,,2739.0,,,,,,,,,,,
26864,,135.0,,,,,,,,,,,
27069,,7108.0,,,,,,,,,,,
27101,,135.0,,,,,,,,,,,
27262,,31353.0,,,,,,,,,,,
27325,,766.0,,,,,,,,,,,
27332,,54.0,,,,,,,,,,,
27476,,103.0,,,,,,,,,,,
27604,,1403.0,,,,,,,,,,,
27609,,135.0,,,,,,,,,,,
27642,,135.0,,,,,,,,,,,
27680,,9323.0,,,,,,,,,,,
27981,,5431.0,,,,,,,,,,,
28092,,54.0,,,,,,,,,,,
28130,,19.0,,,,,,,,,,,
28340,,135.0,,,,,,,,,,,
28448,,54.0,,,,,,,,,,,
28675,,54.0,,,,,,,,,,,
28771,,54.0,,,,,,,,,,,
28791,,103.0,,,,,,,,,,,
28917,,135.0,,,,,,,,,,,
29029,,135.0,,,,,,,,,,,
29124,,54.0,,,,,,,,,,,
29174,,135.0,,,,,,,,,,,
29570,,54.0,,,,,,,,,,,
29676,,54.0,,,,,,,,,,,
29744,,103.0,,,,,,,,,,,
29810,,6378.0,,,,,,,,,,,
29899,,135.0,,,,,,,,,,,
29951,,54.0,,,,,,,,,,,
30010,,135.0,,,,,,,,,,,
30056,,54.0,,,,,,,,,,,
30131,,103.0,,,,,,,,,,,
30167,,54.0,,,,,,,,,,,
30169,,78.0,,,,,,,,,,,
30367,,135.0,,,,,,,,,,,
30371,,135.0,,,,,,,,,,,
30597,,135.0,,,,,,,,,,,
30638,,54.0,,,,,,,,,,,
30673,,135.0,,,,,,,,,,,
30951,,135.0,,,,,,,,,,,
31273,,304.0,,,,,,,,,,,
31349,,135.0,,,,,,,,,,,
31409,,103.0,,,,,,,,,,,
31522,,3413.0,,,,,,,,,,,
31607,,54.0,,,,,,,,,,,
31915,,135.0,,,,,,,,,,,
31997,,135.0,,,,,,,,,,,
32024,,54.0,,,,,,,,,,,
