,35,25,65,62,30,55,45,22,60,75,70,16,20
29086,2847.0,,,,,,,,,,,,
29282,837.0,,,,,,,,,,,,
29485,184.0,,,,,,,,,,,,
29539,6530.0,,,,,,,,,,,,
29568,184.0,,,,,,,,,,,,
29600,3355.0,,,,,,,,,,,,
29849,7115.0,,,,,,,,,,,,
29974,7115.0,,,,,,,,,,,,
30052,6521.0,,,,,,,,,,,,
30061,17889.0,,,,,,,,,,,,
30120,19203.0,,,,,,,,,,,,
30353,67850.0,,,,,,,,,,,,
30671,644.0,,,,,,,,,,,,
30705,603.0,,,,,,,,,,,,
30914,184.0,,,,,,,,,,,,
30988,569.0,,,,,,,,,,,,
31124,569.0,,,,,,,,,,,,
31220,569.0,,,,,,,,,,,,
31225,658.0,,,,,,,,,,,,
31233,837.0,,,,,,,,,,,,
31293,2847.0,,,,,,,,,,,,
31376,184.0,,,,,,,,,,,,
31437,837.0,,,,,,,,,,,,
31645,2164.0,,,,,,,,,,,,
31682,9052.0,,,,,,,,,,,,
32335,603.0,,,,,,,,,,,,
32628,34923.0,,,,,,,,,,,,
32661,437.0,,,,,,,,,,,,
32663,569.0,,,,,,,,,,,,
32766,15830.0,,,,,,,,,,,,
33111,837.0,,,,,,,,,,,,
33251,184.0,,,,,,,,,,,,
33342,9561.0,,,,,,,,,,,,
33404,2847.0,,,,,,,,,,,,
33608,837.0,,,,,,,,,,,,
33796,184.0,,,,,,,,,,,,
33986,4762.0,,,,,,,,,,,,
34096,20298.0,,,,,,,,,,,,
34186,837.0,,,,,,,,,,,,
34298,184.0,,,,,,,,,,,,
34394,3355.0,,,,,,,,,,,,
34636,837.0,,,,,,,,,,,,
34723,184.0,,,,,,,,,,,,
34879,4656.0,,,,,,,,,,,,
34985,437.0,,,,,,,,,,,,
35328,303.0,,,,,,,,,,,,
35347,3355.0,,,,,,,,,,,,
35435,2732.0,,,,,,,,,,,,
35648,837.0,,,,,,,,,,,,
35704,837.0,,,,,,,,,,,,
35783,1531.0,,,,,,,,,,,,
35824,15287.0,,,,,,,,,,,,
35957,569.0,,,,,,,,,,,,
36208,184.0,,,,,,,,,,,,
36654,6521.0,,,,,,,,,,,,
36671,184.0,,,,,,,,,,,,
36871,3312.0,,,,,,,,,,,,
36883,837.0,,,,,,,,,,,,
